Manufacturer,ASIN,Description
Victorinox,B004UCORV2,"Victorinox   organizer backpack is equipped with a padded laptop compartment built from   excellent quality material. An additional tablet Sleeve keeps your tablet or   Notepad in place. This ensures the safety of your device.   The wide and well-cushioned shoulder strap ensures that you never feel burdened by the weight of your gadget. The specially designed straps dampen the load of the bag significantly and provide you with extra support making it all easier and comfortable to carry.   Utility   areas and external compartments bring in an added level of functionality to   this bag. Small and sensitive items like keys, diary, wallets, pen-drives and   smartphones can be neatly organized.   Travel hands-free in sleek, forward-thinking style with our Vx   Touring 15'' Laptop Backpack. It takes the backpack concept and reinvents it   for the most seasoned global business traveler. Detail driven and cleverly   constructed, it neatly houses a 15” laptop and all your mobile office   essentials. Lockable zippers ensure high security while you’re exploring the   urban jungle or jetting off to meetings."
Wesley,B07NJRPJ6Q,"With a slim, sleek and compact   design you will love how this backpack can look small and compact even though   it has 2 spacious compartments to store your gadgets, books, keys and even a   water bottle!   You can take along your gadgets   with you to office, college or anywhere with this backpack, as it has got   allotted storage space that fits a laptop of up-to 15.6 inches.   Designed with great quality   materials that are waterproof, tough and durable, this backpack is like no   other as it features a lightweight design that is easy to maintain as well.   The back straps of the backpack   are padded to give the user maximum support and it made with anti-sweat   fabric, giving you the comfort throughout the day.   Featuring 2 compartments, the main   compartment and a front compartment to store smaller objects/pens/thin   notebooks etc. It also includes a laptop sleeve with a Velcro strap for   safety.   It won’t feel uneasy to carry   heavy things for a longer time with this bag as it has a cushioned back   support that distributes weight evenly between your shoulders and back.   Be it those stormy rainy season,   scorching heat, or freezing winters, this bag can endure as it is crafted,   designed and made with quality and tough materials."
A. H. Creation,B083N3DCTM,"Nylon, Inner Material: Polyester   50 Liters   Grey & Navy Blue   This grey and Grey with navy blue backpack by Heroz is ergonomically designed for all ages, genders and purposes. Made of PU polyester material, this bag is ideal for use as a college bag, casual backpack, laptop bag or a work bag.   The grey color with navy blue undertones gives a neutral look and an advantage over excess dust collection. 3 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides.   Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap.   The padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration."
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BR1D4SL1,
"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B0BPTT2HZY,"High Quality large and spacious laptop backpack with 2 compartments and 2 front easy-access pockets. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. It comes with a full sized rain cover.   Adjustable Padded Shoulder Straps   2 Large compartment with padding   Water Resistant Strong Polyester"
"Gear, Gear Merchandise Pvt Ltd E/12 West Chowbaga Gulshan Colony Kolkata-700100",B08D76WDTV,
"Torero Corporation Pvt Ltd, S22, EKTP Phase 3, Kasba Industrial Estate, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107, Email- customercare@torerocorp.com",B07ZB8NWTZ,It has a dedicated Laptop Compartment with cushion padding which can safely fits a laptops upto 15 inches.   The bag has padded adjustable back straps that provide carrying comfort. The back panel is also finely padded for ease when you are carrying the backpack. This provides resistance from sweat along with ease of carrying the bag when you are on the move.
Greenwell Specialty Healthcare Pvt. Ltd.,‎B08LBT1R9J,
Wooum,B09KVBSG61,
COSMUSBAGS PVT.LTD.,B09HX54TGF,"With built in USB charging port gives convenience to charge  your phone while on move. Please note: power bank not included, USB  charging port only offers an easy access to charge with your own power  bank.   One spacious packing compartment for daily necessities which  includes One padded laptop sleeve to hold 15.6 Inch Laptop along with  many small organizer pockets.   The two sided pocket comes with ample space and  water bottle compartment   Comfortable airflow back design with thick ventilated  padding, gives you  maximum back support. Breathable and adjustable  shoulder straps relieve  the stress of shoulder. Elegant top handle for a  long time carry on.   Crafted with the finest materials this bag is designed for    keeping  things light without compromising on comfort, keeping it     light-weight   Stylish and Durable Spacious Laptop Backpack for Travel Cosmus Vogue 15.6 inch laptop backpack is made of High grade water     resistance PU   coated polyester material that gives it strength and  makes    it  durable  for long-term use.   COSMUS Vogue 15.6 inches Business Laptop Backpack is the   sleek and lightweight solution for your Laptop Bags needs that\'s   perfectly suited to your daily life   dimensions: 18.5 x 13 x 6.5 inches : 47cm x 33cm x 17cm : Capacity 26 Litres"
"Safari, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",B097JM98M1,
"Gear, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",B07G4F3758,
"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B07G3F1G7T,
ah arctic hunter,B08HM4TQZZ,GB00375 Backpack   AH-B00113C Backpack   AH-B00345 Backpack   GW-GB00397 Backpack    AH-B00451 Backpack   AH-B00208 Backpack   AH-B00492 Backpack
